AlbumId,AlbumName,ReleaseDate,ArtistId,GenreId
1,Powerslave,9/3/1984,1,1
2,Powerage,5/5/1978,2,1
3,Singing Down the Lane,1/1/1956,6,3
4,Ziltoid the Omniscient,5/21/2007,5,1
5,Casualties of Cool,5/14/2014,5,1
6,Epicloud,9/18/2012,5,1
7,Somewhere in Time,9/29/1986,1,1
8,Piece of Mind,5/16/1983,1,1
9,Killers,2/2/1981,1,1
10,No Prayer for the Dying,10/1/1990,1,1
11,No Sound Without Silence,9/12/2014,9,4
12,Big Swing Face,6/1/1967,4,2
13,Blue Night,11/1/2000,12,4
14,Eternity,10/27/2008,12,4
15,Scandinavia,6/11/2012,12,4
16,Long Lost Suitcase,10/9/2015,7,4
17,Praise & Blame,6/26/2010,7,4
18,Along Came Jones,5/21/1965,7,4
19,All Night Wrong,5/5/2002,3,2
20,The Sixteen Men of Tain,3/20/2000,3,2
